1 xplmin   xplmax   zplmax   arad   x-zero   xmagax   xmaj  xzmax  xatpi  xofset  a-ratio
     3   27  -0.272675717E+00   0.406357285E+01   0.770181813E-02   0.269315092E-02  -0.758650427E-03   0.349411434E+00  -0.289082188E-02  -0.352785314E+00   0.958953338E-04
     3   28  -0.272675717E+00   0.406332820E+01   0.795629805E-02   0.278225594E-02  -0.773834035E-03   0.349409791E+00  -0.280448251E-02  -0.352829260E+00   0.891099605E-04
     3   29  -0.272675717E+00   0.406307568E+01   0.820296807E-02   0.286864140E-02  -0.787375515E-03   0.349408808E+00  -0.271535712E-02  -0.352873902E+00   0.813477838E-04
     3   30  -0.272675717E+00   0.406281552E+01   0.844158071E-02   0.295222062E-02  -0.799289690E-03   0.349408559E+00  -0.262353159E-02  -0.352919153E+00   0.726450049E-04
     3   31  -0.272675717E+00   0.406254800E+01   0.867189607E-02   0.303290953E-02  -0.809565750E-03   0.349409086E+00  -0.252909462E-02  -0.352964891E+00   0.630115712E-04
     3   32  -0.272675717E+00   0.406227336E+01   0.889368216E-02   0.311062674E-02  -0.818230935E-03   0.349410460E+00  -0.243213764E-02  -0.353011032E+00   0.524948341E-04
     3   33  -0.272675717E+00   0.406199188E+01   0.910671516E-02   0.318529369E-02  -0.825292076E-03   0.349412725E+00  -0.233275471E-02  -0.353057461E+00   0.411210676E-04
     3   34  -0.272675717E+00   0.406170383E+01   0.931077964E-02   0.325683469E-02  -0.830783781E-03   0.349415939E+00  -0.223104250E-02  -0.353104098E+00   0.289436306E-04
     3   35  -0.272675717E+00   0.406140949E+01   0.950566886E-02   0.332517703E-02  -0.834721915E-03   0.349420140E+00  -0.212710014E-02  -0.353150828E+00   0.159964234E-04
     3   36  -0.272675717E+00   0.406110916E+01   0.969118503E-02   0.339025108E-02  -0.837151884E-03   0.349425380E+00  -0.202102916E-02  -0.353197578E+00   0.234214983E-05
     3   37  -0.272675717E+00   0.406080313E+01   0.986713949E-02   0.345199035E-02  -0.838100603E-03   0.349431691E+00  -0.191293341E-02  -0.353244242E+00  -0.119757342E-04
     3   38  -0.272675717E+00   0.406049170E+01   0.100333530E-01   0.351033162E-02  -0.837615700E-03   0.349439111E+00  -0.180291892E-02  -0.353290742E+00  -0.268938444E-04
     3   39  -0.272675717E+00   0.406017518E+01   0.101896561E-01   0.356521497E-02  -0.835742506E-03   0.349447669E+00  -0.169109383E-02  -0.353336995E+00  -0.423518900E-04
     3   40  -0.272675717E+00   0.405985389E+01   0.103358889E-01   0.361658388E-02  -0.832529140E-03   0.349457391E+00  -0.157756830E-02  -0.353382920E+00  -0.582876163E-04
     3   41  -0.272675717E+00   0.405952813E+01   0.104719018E-01   0.366438530E-02  -0.828029005E-03   0.349468296E+00  -0.146245434E-02  -0.353428442E+00  -0.746343231E-04
     3   42  -0.272675717E+00   0.405919824E+01   0.105975553E-01   0.370856976E-02  -0.822297567E-03   0.349480401E+00  -0.134586576E-02  -0.353473492E+00  -0.913241085E-04
     3   43  -0.272675717E+00   0.405886455E+01   0.107127206E-01   0.374909135E-02  -0.815392072E-03   0.349493714E+00  -0.122791803E-02  -0.353517998E+00  -0.108288163E-03
     3   44  -0.272675717E+00   0.405852738E+01   0.108172792E-01   0.378590788E-02  -0.807375120E-03   0.349508242E+00  -0.110872814E-02  -0.353561907E+00  -0.125453217E-03
     3   45  -0.272675717E+00   0.405818708E+01   0.109111235E-01   0.381898088E-02  -0.798306208E-03   0.349523983E+00  -0.988414518E-03  -0.353605151E+00  -0.142750015E-03
     3   46  -0.272675717E+00   0.405784397E+01   0.109941569E-01   0.384827565E-02  -0.788251435E-03   0.349540932E+00  -0.867096864E-03  -0.353647686E+00  -0.160103616E-03
     3   47  -0.272675717E+00   0.405749841E+01   0.110662938E-01   0.387376137E-02  -0.777272731E-03   0.349559078E+00  -0.744896049E-03  -0.353689453E+00  -0.177444189E-03
     3   48  -0.272675717E+00   0.405715074E+01   0.111274597E-01   0.389541107E-02  -0.765438703E-03   0.349578406E+00  -0.621933974E-03  -0.353730421E+00  -0.194696173E-03
     3   49  -0.272675717E+00   0.405680131E+01   0.111775915E-01   0.391320172E-02  -0.752814089E-03   0.349598894E+00  -0.498333432E-03  -0.353770548E+00  -0.211788835E-03
     3   50  -0.272675717E+00   0.405645047E+01   0.112166373E-01   0.392711423E-02  -0.739463364E-03   0.349620515E+00  -0.374217983E-03  -0.353809787E+00  -0.228652671E-03
     3   51  -0.272675717E+00   0.405609857E+01   0.112445567E-01   0.393713351E-02  -0.725453846E-03   0.349643239E+00  -0.249711811E-03  -0.353848122E+00  -0.245216318E-03
     3   52  -0.272675717E+00   0.405574596E+01   0.112613209E-01   0.394324849E-02  -0.710850028E-03   0.349667031E+00  -0.124939581E-03  -0.353885526E+00  -0.261412217E-03
